Nome;Concentração;Forma Farmacêutica;Componente;Postos de Distribuição;Status
Medicamentos e Fórmulas Nutricionais disponibilizados pela SES/RS na Farmácia Digital RS para primeira solicitação de tratamentos para usuários;;atualizada em 16/06/2025 - DEAF/SES RS;;Farmácia Digital RS;
Cabergolina;0,5 mg;comprimido;;Farmácia Digital RS;
Alfaepoetina;1.000 UI injetável;frasco-ampola;;Farmácia Digital RS;
Hidróxido férrico;100 mg injetável;frasco de 5 ml;;Farmácia Digital RS;
Ciclofosfamida;50 mg;comprimido;;Farmácia Digital RS;
Danazol;100 mg;cápsula;;Farmácia Digital RS;
Abatacepte;250 mg injetável;frasco;;Farmácia Digital RS;
Adalimumabe;40 mg injetável;seringa preenchida;;Farmácia Digital RS;
Naproxeno;250 mg;comprimido;;Farmácia Digital RS;
Abatacepte;125 mg injetável;frasco-ampola;;Farmácia Digital RS;
Nusinersena;2,4 mg/ml injetável 5 ml;frasco ampola;;Farmácia Digital RS;
Budesonida;200 mcg;cápsula inalante;;Farmácia Digital RS;
Ácido Ursodesoxicólico;50 mg;comprimido;;Farmácia Digital RS;
Risperidona;1 mg;comprimido;;Farmácia Digital RS;
Biotina;2,5 mg;cápsula;;Farmácia Digital RS;
Somatropina;4 UI injetável;frasco-ampola;;Farmácia Digital RS;
Sertralina, Cloridrato;50 mg;comprimido;;Farmácia Digital RS;
Ciclosporina;25 mg;cápsula;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Desmopressina;0,1 mg/ml aplicação nasal;frasco de 2,5 ml;;Farmácia Digital RS;
Insulina Determir;100 UI/ml;frasco com 3ml;;Farmácia Digital RS;
Insulina Análoga de Ação Rápida;;frasco de 3ml;;Farmácia Digital RS;
Dapaglifozina;10mg;comprimido;;Farmácia Digital RS;
Ácido nicotínico;500 mg;comprimido de liberação prolongada;;Farmácia Digital RS;
Toxina botulinica tipo A;100 U injetável;frasco-ampola;;Farmácia Digital RS;
Calcitriol;0,25 mcg;cápsula;;Farmácia Digital RS;
Donepezila;5 mg;comprimido;;Farmácia Digital RS;
Adalimumabe;40 mg injetável;seringa preenchida;;Farmácia Digital RS;
Alfagalsidade;1 mg/ml injetável;frasco ampola;;Farmácia Digital RS;
Alfataliglicerase;200 U injetável;frasco-ampola;;Farmácia Digital RS;
Ácido zoledrônico;5mg/100ml;frasco de 100ml;;Farmácia Digital RS;
Amantadina;100 mg;comprimido;;Farmácia Digital RS;
Alfa-alglicosidase ácida: frasco-ampola com;50 mg de pó liofilizado;;;Farmácia Digital RS;
Penicilamina;250 mg;cápsula;;Farmácia Digital RS;
Dapsona;100 mg;comprimido;;Farmácia Digital RS;
Alfaepoetina;1.000 UI injetável;frasco-ampola;;Farmácia Digital RS;
Filgrastim;300 mcg injetável;frasco-ampola ou seringa preenchida;;Farmácia Digital RS;
Brometo de umeclidínio + trifenatato de vilanterol: pó inalante de;62,5 mcg + 25 mcg Brometo de tiotrópio monoidratado + clor. de olodaterol: solução para inalação de 2,5 mcg +2,5 mcg Budesonida 200 mcg;cápsula inalante;;Farmácia Digital RS;
Codeína;3 mg/ml solução oral;frasco de 120 ml;;Farmácia Digital RS;
Danazol;100 mg;cápsula;;Farmácia Digital RS;
Clobazam;10 mg;comprimido;;Farmácia Digital RS;
Riluzol;50 mg;comprimido;;Farmácia Digital RS;
Alentuzumabe: solução de injetável de;10 mg/mL;frasco-ampola contendo 1,2 ml;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Toxina botulinica tipo A;100 U injetável;frasco-ampola;;Farmácia Digital RS;
Adalimumabe;40 mg injetável;seringa preenchida;;Farmácia Digital RS;
Clozapina;25 mg;comprimido;;Farmácia Digital RS;
Dapagliflozina;10 mg;comprimido;;Farmácia Digital RS;
Complemento Alimentar para Fenilcetonúricos - PKU;1;0-1 ano;;Farmácia Digital RS;
Alfadornase;1 mg/ml solução para inalação 2,5 ml;ampola;;Farmácia Digital RS;
Dieta Infantil em pó de aminoácidos;100% livres 1.0 kcal/ml Dieta Infantil em pó, nutricionalmente completa, para crianças até 10 anos, sem lactose e glúten Dieta líquida Enteral/Oral Normocalórica.1.2 cal. sem lactose, sem sacarose, sem glúten 1L Dieta líquida Enteral/Oral Hipercalórica 1.5cal. sem lactose, sem sacarose, sem glúten 1L Dieta sem lactose, sem sacarose, sem glúten, com fibras, Normocalórica 1L;líquido;;Farmácia Digital RS;
Acetazolamida;250 mg;comprimido;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Alfainterferona;2B 3.000.000UI injetável;frasco ampola;;Farmácia Digital RS;
Eculizumabe;10 mg/mL solução injetável;frasco com 30 mL;;Farmácia Digital RS;
Adalimumabe;40 mg solução injetável;seringa preenchida;;Farmácia Digital RS;
Fludrocortisona, Acetato;0,1 mg;comprimido;;Farmácia Digital RS;
Bromocriptina;2,5 mg;comprimido;;Farmácia Digital RS;
Ambrisentana;5 mg;comprimido revestido;;Farmácia Digital RS;
Testosterona, Undecilato;250 mg/ml injetável;ampola;;Farmácia Digital RS;
Calcitriol;0,25 mcg;cápsula;;Farmácia Digital RS;
Acitretina;10 mg;cápsula;;Farmácia Digital RS;
Imunoglobulina Humana;1,0 g injetável;frasco;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Alfaepoetina;1.000 UI injetável;frasco-ampola;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Ácido Ursodesoxicolíco;150 mg;comprimido;;Farmácia Digital RS;
Oxibutinina, Cloridrato;1 mg/ml sol. oral Oxibutinina,Cloridrato 5 mg;comprimido;;Farmácia Digital RS;
Fludrocortisona, Acetato;0,1 mg;comprimido;;Farmácia Digital RS;
Dapaglifozina;10mg;comprimidos;;Farmácia Digital RS;
Pancreatina;10.000 UI;cápsula;;Farmácia Digital RS;
Isotretinoina;10 mg;cápsula;;Farmácia Digital RS;
Gosserrelina;3,60 mg injetável;seringa preenchida;;Farmácia Digital RS;
Sirolimo;1 mg;drágea;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Isoconazol;10 mg/g;creme;;Farmácia Digital RS;
Laronidase;0,58 mg/ml injetável;frasco;;Farmácia Digital RS;
Idursulfase alfa;2 mg/ml injetável;frasco;;Farmácia Digital RS;
Alfaelosulfase;1 mg/ml solução injetável;;;Farmácia Digital RS;
Galsulfase;1 mg/ml solução injetável;;;Farmácia Digital RS;
Alfavestronidase;10 mg solução injetável;frasco com 5ml;;Farmácia Digital RS;
Ácido zoledrônico;0,05 mg/ml;frasco de 100ml;;Farmácia Digital RS;
Imunoglobulina Humana;1,0 g injetável;frasco;;Farmácia Digital RS;
Acitretina;10 mg;cápsula;;Farmácia Digital RS;
Acitretina;10 mg;cápsula;;Farmácia Digital RS;
Tafamidis meglumina;20 mg;cápsula;;Farmácia Digital RS;
Clopidogrel;75 mg;comprimido;;Farmácia Digital RS;
Enoxaparina sódica;40mg/0,4ml solução injetável;seringa preenchida;;Farmácia Digital RS;
Ganciclovir;250 mg;cápsula;;Farmácia Digital RS;
Acitretina;10 mg;cápsula;;Farmácia Digital RS;
Ciproterona, Acetato;50 mg;comprimido;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Burosumabe;10 mg/ml injetável;frasco ampola;;Farmácia Digital RS;
Azatioprina;50 mg;comprimido;;Farmácia Digital RS;
Clopidogrel;75 mg;comprimido;;Farmácia Digital RS;
Ciclofosfamida;50 mg;comprimido;;Farmácia Digital RS;
Imunoglobulina Humana;1,0 g injetável;frasco;;Farmácia Digital RS;
Ciproterona;50 mg;comprimido;;Farmácia Digital RS;
Somatropina;4 UI;EQ. 4 mg;;Farmácia Digital RS;
Imunoglobulina Humana;1,0 g injetável;frasco;;Farmácia Digital RS;
Imunoglobulina Humana;1,0 g injetável;frasco;;Farmácia Digital RS;
Alfaepoetina;10.000 UI injetável;frasco-ampola;;Farmácia Digital RS;
Ciclofosfamida;50 mg;drágea;;Farmácia Digital RS;
Ciclofosfamida;50 mg;drágea;;Farmácia Digital RS;
Deferasirox;125 mg;comprimido;;Farmácia Digital RS;
Clozapina;25 mg;comprimido;;Farmácia Digital RS;
Metilfenidato;10 mg;comprimido;;Farmácia Digital RS;
Clozapina;25 mg;comprimido;;Farmácia Digital RS;
Amoxicilina;500 mg+ Claritromicina 500 mg + Esomeprazol 20 mg;;;Farmácia Digital RS;
Adalimumabe;40 mg injetável;seringa preenchida;;Farmácia Digital RS;
